population_key,Country Code,Year,life_expectancy_male,life_expectancy_female,birth_rate,death_rate,growth_rate,fertility_rate,total_population,urban_population,rural_population,population_ages_0_to_14,population_ages_15_to_64,population_ages_65_and_above
122,IRN,2018,75.409,77.668,18.783,4.843,1.38647833501238,2.137,81800204.0,61266717.0,20533487.0,20021875.0,56719335.0,5058994.0
123,EGY,2018,69.599,74.162,26.379,5.817,2.0332723991851,3.326,98423602.0,42030815.0,56392787.0,33265918.0,60010346.0,5147337.0
124,KEN,2018,63.965,68.684,28.748,5.469,2.30574364203494,3.492,51392570.0,13891412.0,37501158.0,20445078.0,29745324.0,1202168.0
125,NGA,2018,53.45,55.244,37.905,11.86,2.586551303075,5.387,195874685.0,98611151.0,97263534.0,85923643.0,104569626.0,5381416.0
126,CAN,2019,80.0,84.2,9.9,7.6,1.41501469953534,1.4684,37593384.0,30631841.0,6961543.0,5957010.0,25001932.0,6634442.0
127,USA,2019,76.3,81.4,11.4,8.7,0.455381285963537,1.705,328329953.0,270737596.0,57592357.0,60902964.0,214205997.0,53220992.0
128,MEX,2019,72.203,77.879,17.297,6.082,1.09136688717461,2.103,127575529.0,102626859.0,24948670.0,33405803.0,84707882.0,9461844.0
129,IND,2019,68.464,70.95,17.644,7.265,1.01326124930492,2.202,1366417756.0,471031529.0,895386227.0,363716695.0,915551973.0,87149088.0
130,IDN,2019,69.572,73.967,17.746,6.51,1.09792643725552,2.288,270625567.0,151509724.0,119115843.0,70944816.0,183307085.0,16373666.0
131,IRN,2019,75.593,77.885,18.42,4.842,1.35228980616831,2.146,82913893.0,62509613.0,20404280.0,20442137.0,57199658.0,5272098.0
132,EGY,2019,69.742,74.35,25.708,5.778,1.97628022437557,3.28,100388076.0,42895825.0,57492251.0,33966135.0,61125132.0,5296809.0
133,KEN,2019,64.313,69.049,28.298,5.393,2.27274637907931,3.423,52573967.0,14461521.0,38112446.0,20605512.0,30694153.0,1274302.0
134,NGA,2019,53.789,55.619,37.446,11.63,2.56487195537782,5.317,200963603.0,102806950.0,98156653.0,87796035.0,107654969.0,5512599.0
135,CAN,2020,79.26,83.57333333333332,10.773333333333333,7.253333333333334,1.08959148655862,1.5817866666666662,38005238,30997832,7007406,5995422,25129210,6880606
136,USA,2020,76.00666666666666,80.95333333333335,12.846666666666668,8.264733333333332,0.350911063312921,1.9099333333333335,329484123,272364755,57119368,60531991,214155872,54796260
137,MEX,2020,72.1686,77.92793333333333,19.469333333333335,5.455466666666666,1.05824003448927,2.2920666666666665,128932753,104088701,24844052,33310119,85800403,9822231
138,IND,2020,66.3172,68.44253333333334,20.351,7.463399999999998,0.989413800188014,2.5044,1380004385,481980332,898024053,361017585,928266848,90719952
139,IDN,2020,67.71353333333334,71.84606666666667,20.01953333333333,6.650066666666668,1.06517898587775,2.4309333333333334,273523621,154926514,118597107,70941104,185453064,17129453
140,IRN,2020,73.2716,75.92973333333335,18.364400000000003,4.891866666666667,1.29302669121629,1.9428666666666667,83992953,63728813,20264140,20783801,57695557,5513595
141,EGY,2020,68.52573333333335,73.025,26.88093333333334,6.102733333333334,1.92024763689114,3.2608666666666664,102334403,43781728,58552675,34712880,62165379,5456144
142,KEN,2020,59.79286666666666,64.0648,33.321733333333334,7.198399999999999,2.25187943057208,4.126266666666667,53771300,15053275,38718025,20750132,31671946,1349222
143,NGA,2020,50.90046666666668,52.5026,40.3714,13.730133333333333,2.54297340536727,5.712466666666668,206139587,107106007,99033580,89645181,110850172,5644234
