education_key,Country Code,Year,public_spending_percent_of_gdp,literacy_rate_adult_total,literacy_rate_adult_male,literacy_rate_adult_female,primary_school_enrollment_percent_of_gross,primary_school_enrollment_percent_of_net,primary_completion_rate,primary_completion_male,primary_completion_female,secondary_school_enrollment_percent_of_gross,secondary_school_enrollment_percent_of_net,tertiary_school_enrollment_percent_of_gross
65,MEX,2012,5.10309982299805,94.228401184082,95.3916320800781,93.1792373657227,110.413452148438,97.92299,106.011009216309,105.429573059082,106.609817504883,90.6671981811523,71.82661,29.4718399047852
66,IND,2012,3.8675000667572,,,,109.761299133301,91.57155,,,,69.0128326416016,,24.2679805755615
67,IDN,2012,3.40748000144959,,,,109.273422241211,92.85318,103.098258972168,101.656127929688,104.619102478027,80.4523315429688,74.17695,30.4290008544922
68,IRN,2012,3.16859006881714,83.6259918212891,88.8798217773438,78.4162673950195,101.461059570313,97.93445,97.207389831543,98.0623168945313,96.3189392089844,84.9821166992188,80.44597,56.4269599914551
69,EGY,2012,3.36829996109009,73.865592956543,81.6792221069336,65.7566604614258,104.779739379883,98.53698,,,,78.6885070800781,,27.7280406951904
70,KEN,2012,5.50903987884521,,,,109.41773223877,79.96782,,,,,,
71,NGA,2012,,,,,92.0911407470703,,,,,47.1807708740234,,
72,CAN,2013,,,,,100.340713500977,99.43231,,,,109.485992431641,91.46145,65.3322982788086
73,USA,2013,,,,,99.455436706543,92.80851,,,,96.1864929199219,89.46575,88.7264175415039
74,MEX,2013,4.69605016708374,93.9628524780273,95.1121063232422,92.903938293457,109.441482543945,97.57591,109.42504119873,108.938812255859,109.926551818848,93.3275527954102,75.56968,30.3000392913818
75,IND,2013,3.84467005729675,,,,110.583312988281,92.25734,96.2008895874023,93.426872253418,99.3199768066406,68.7591171264648,61.63147,23.7948303222656
76,IDN,2013,3.35904002189636,,,,106.841590881348,90.5756,101.145629882813,99.6562805175781,102.72029876709,82.6376419067383,75.36034,31.0637092590332
77,IRN,2013,3.06795001029968,84.6268005371094,89.54248046875,79.7558364868164,115.066497802734,98.63946,,,,83.8313980102539,77.67467,59.2787284851074
78,EGY,2013,4.12252998352051,72.442497253418,81.6940612792969,62.7052192687988,105.094429016113,,100.530143737793,100.102546691895,100.983032226563,80.3190307617188,,30.1178493499756
79,KEN,2013,5.41137981414795,,,,,,,,,,,
80,NGA,2013,,,,,94.1185302734375,,,,,56.2053985595703,,
81,CAN,2014,,,,,101.536659240723,99.39113,,,,109.333099365234,90.95273,65.612907409668
82,USA,2014,,,,,99.6733779907227,93.2305,,,,96.9245376586914,89.86874,88.6268692016602
83,MEX,2014,5.25747013092041,94.5558776855469,95.6204681396484,93.5913391113281,108.005752563477,96.79833,110.508842468262,110.251930236816,110.774291992188,97.3433837890625,77.66257,31.0941390991211
84,IND,2014,,,,,107.864410400391,,97.5711212158203,95.0636901855469,100.387771606445,74.1415328979492,,25.4321308135986
85,IDN,2014,3.28800988197327,95.1162185668945,96.7910079956055,93.4508972167969,106.073402404785,90.00059,103.451530456543,106.193222045898,100.547958374023,82.6823806762695,75.21275,30.8957595825195
86,IRN,2014,2.80135011672974,84.7052383422852,89.6354217529297,79.8393478393555,107.553031921387,99.52212,,,,85.2762603759766,77.8726,67.3197708129883
87,EGY,2014,4.25138998031616,,,,103.871536254883,98.0269,,,,80.7974166870117,76.81479,31.0681095123291
88,KEN,2014,5.28021001815796,78.733039855957,83.7780303955078,74.0063171386719,105.753410339355,,97.2009963989258,96.5178909301758,97.8931503295898,,,
89,NGA,2014,,,,,90.1035537719727,,,,,45.6240386962891,,
90,CAN,2015,,,,,102.485076904297,99.58907,,,,110.35652923584,92.4135,64.7869567871094
91,USA,2015,,,,,100.299911499023,93.8973,,,,97.6525497436523,91.27156,88.8894119262695
92,MEX,2015,5.22942018508911,94.472282409668,95.5493316650391,93.4854965209961,106.606109619141,96.07343,104.909820556641,104.805809020996,105.017532348633,100.832740783691,80.02575,31.8190402984619
93,IND,2015,3.28572988510132,,,,108.485229492188,,97.7113189697266,95.2926712036133,100.422088623047,73.8656311035156,,26.7689895629883
94,IDN,2015,3.58360004425049,95.2179336547852,97.1065216064453,93.3357086181641,105.960243225098,,,,,86.1227493286133,75.77185,33.2507209777832
95,IRN,2015,2.79738998413086,,,,108.900703430176,99.69128,98.3014984130859,99.0239410400391,97.5435104370117,85.8694229125977,,72.961051940918
96,EGY,2015,3.9308500289917,,,,,,,,,,,35.0281295776367
97,KEN,2015,5.27133989334106,,,,103.661567687988,,99.1434020996094,98.6492767333984,99.6445693969727,,,9.22955989837646
98,NGA,2015,,,,,,,,,,46.7820014953613,,
99,CAN,2016,,,,,101.023872375488,99.95587,,,,112.514282226563,99.32178,66.4391784667969
100,USA,2016,,,,,101.362861633301,95.07325,,,,98.7699279785156,92.18317,88.8350524902344
101,MEX,2016,4.90681982040405,94.859619140625,95.8448181152344,93.9685211181641,106.277732849121,95.69118,103.969390869141,103.924026489258,104.016471862793,102.40406036377,81.22278,38.4333801269531
102,IND,2016,3.45097994804382,,,,114.53832244873,,96.2306976318359,94.1924896240234,98.5070495605469,75.091796875,,26.8292198181152
103,IDN,2016,3.5,95.3769683837891,97.1744384765625,93.5869216918945,105.609878540039,92.77266,,,,84.9521179199219,,35.4373588562012
104,IRN,2016,3.36576008796692,85.5442504882813,90.352409362793,80.7874374389648,111.235572814941,99.70946,100.264381408691,99.9404602050781,100.605247497559,86.8663177490234,80.17273,69.6356582641602
105,EGY,2016,,,,,105.393577575684,97.45606,96.9064483642578,96.1851425170898,97.6721267700195,85.1464462280273,80.74153,33.8589096069336
106,KEN,2016,5.36266994476318,,,,103.205337524414,,99.6787414550781,99.2790298461914,100.084617614746,,,11.4267301559448
107,NGA,2016,,,,,84.7256393432617,,,,,42.0025405883789,,
108,CAN,2017,,,,,100.94367980957,99.8825,,,,113.76286315918,99.80968,68.9225082397461
109,USA,2017,,,,,101.821441650391,94.62633,98.8321990966797,100.429466247559,97.1660308837891,98.9523391723633,92.45022,88.1673889160156
