life_quality_key,Country Code,Year,basic_drinking_water_rate,basic_drinking_water_rate_rural,basic_drinking_water_rate_urban,safe_drinking_water_rate,safe_drinking_water_rate_rural,safe_drinking_water_rate_urban,basic_handwashing_facilities_rate,basic_handwashing_facilities_rate_rural,basic_handwashing_facilities_rate_urban,open_defecation_rate,open_defecation_rate_rural,open_defecation_rate_urban
50,IRN,2010,96.03812638,90.49626992,98.34303502,92.3959797,84.07957142,95.85484974,,,,0.445826665,1.43,0.0365
51,EGY,2010,98.70241581,98.15822888,99.42322095,,,,80.94838257,73.89316016,90.2934076,0.723400576,0.935995439,0.441807141
52,KEN,2010,54.66210303,44.71030833,86.93081834,,,59.29594793,,,,13.02651524,16.36735371,2.193842551
53,NGA,2010,60.0107879,45.54994328,78.80855432,17.93202871,13.67944986,23.45998963,,,,22.60757159,31.54661046,10.98764419
54,CAN,2011,99.23589396,98.57189426,99.39068004,98.59599042,,,,,,0,0,0
55,USA,2011,99.07488707,96.26758346,99.73578807,95.65914859,,96.60312747,,,,0,0,0
56,MEX,2011,96.27120298,89.2463941,98.23976541,41.55507773,,,89.66001526,83.50700895,91.38427265,4.035972895,12.1657828,1.757760978
57,IND,2011,86.18204472,82.99583876,93.18322225,,44.60211266,,66.97611902,60.0113582,82.28006598,40.92201617,53.82858822,12.56189023
58,IDN,2011,85.27144926,76.61398162,93.72529267,,,,73.35761843,62.0587434,84.39074313,17.10027532,26.74435339,7.683026631
59,IRN,2011,96.2006052,90.82951646,98.37318019,92.57365997,84.3891889,95.88423221,,,,0.437827971,1.43,0.0365
60,EGY,2011,98.78330921,98.2868189,99.4414475,,,,82.42804889,76.18711511,90.70091436,0.621543054,0.785586794,0.404089731
61,KEN,2011,55.37612789,45.42700197,86.93530394,,,59.09364088,26.3846192,24.1740417,33.39669159,12.56396154,15.86101385,2.10552686
62,NGA,2011,61.75894515,47.120584,80.11513169,18.32863851,14.08305611,23.65250653,32.0001104,25.00286057,40.7745095,22.21017321,31.36036285,10.7360344
63,CAN,2012,99.23432608,98.63296946,99.37412975,98.65168006,,,,,,0,0,0
64,USA,2012,99.16968809,96.64571722,99.75716101,95.84939996,,96.69901497,,,,0,0,0
65,MEX,2012,96.71644433,90.25646908,98.49571228,41.74726437,,,89.68317442,83.50700895,91.38427265,3.58092129,10.86964907,1.573395207
66,IND,2012,86.67656079,83.64052577,93.23790492,,46.11115215,,67.05584145,60.0113582,82.28006598,37.98070296,50.33743152,11.27588965
67,IDN,2012,86.09794725,77.61946482,94.15445691,,,,76.05299916,65.73358082,85.85882162,15.81647892,25.01212529,7.078498466
68,IRN,2012,96.35822831,91.16276301,98.40332536,92.74599173,84.69880638,95.91361467,,,,0.430094117,1.43,0.0365
69,EGY,2012,98.86391957,98.41547881,99.45967565,,,,83.90401201,78.48107006,91.10842112,0.362394552,0.635178148,0
70,KEN,2012,56.08651459,46.14153415,86.9397797,,,58.89121825,26.42215486,24.1740417,33.39669159,12.10353401,15.35467399,2.017211169
